Pointing RA(Hrs Min Sec),Pointing Dec(Deg Min Sec),pos_x(Km),pos_y(Km),pos_z(Km),vel_x(Km/s),vel_y(Km/s),vel_z(Km/s),DateTime,Spacecraft Roll(Deg),quat0,quat1,quat2,quat3
22 49 7.3,-5 21 36.2,-582.700190018676,2491.37803213375,6677.80195423949,4.46114119386319,-5.46150089271423,2.43940550795989,2017-10-11T01:10:00.054,-43.85912,-0.3619252741,0.1003242061,-0.1254369766,0.9182650568
22 49 17.1,-5 22 25.4,-66.6534032054537,1846.47138024954,6908.77757677866,4.50237400972378,-5.73353678895614,1.58943448319007,2017-10-11T01:11:55.054,-43.85539,-0.3619129062,0.1002963707,-0.1250638664,0.9183238621
22 49 27.0,-5 23 16.3,450.349983327539,1175.10897176515,7040.5154104767,4.47925283120222,-5.92324391260882,0.717620177245233,2017-10-11T01:13:50.054,-43.85164,-0.3619004488,0.1002685279,-0.1246907339,0.9183825501
22 49 37.2,-5 24 7.6,960.910270510233,486.911240662927,7071.16645824276,4.39175515128719,-6.02794033618004,-0.16656981707504,2017-10-11T01:15:45.055,-43.84789,-0.3618879616,0.1002406701,-0.1243175864,0.9184410972
22 50 41.8,-5 13 6.5,3993.54264175394,-4436.99465560498,3954.50668895843,1.73367007526374,-3.91154463236642,-6.10896682567988,2017-10-11T01:31:00.055,-43.80768,-0.3620568812,0.0978503153,-0.1228037104,0.9188358827
22 50 46.2,-5 09 32.9,4163.25445492782,-4853.38494651565,3224.70430141762,1.22455127396446,-3.33225128233572,-6.55921164132003,2017-10-11T01:32:55.054,-43.8063,-0.362141341,0.0973203629,-0.1228677109,0.9188503261
22 50 50.1,-5 05 55.6,4273.28791328683,-5200.2052234644,2448.55047927235,0.696822277654792,-2.70368089440153,-6.91602556481492,2017-10-11T01:34:50.054,-43.80494,-0.3622256815,0.0967903808,-0.1229316816,0.9188645055
22 50 54.0,-5 02 22.6,4322.05207577173,-5472.46574394476,1637.19926068565,0.16005080301729,-2.03774476403875,-7.17267330193496,2017-10-11T01:36:45.054,-43.8036,-0.3623099327,0.0962603688,-0.1229956076,0.9188784112
22 50 44.9,-4 31 41.1,2624.05625222994,-4758.61345593646,-4666.5286558551,-3.57700994907495,3.4636742528916,-5.54864419430494,2017-10-11T01:52:00.054,-44.69972,-0.370139569,0.093290858,-0.124262929,0.9158887704
22 50 36.1,-4 29 9.8,2194.60540862397,-4326.55773843094,-5268.98923237108,-3.87784195692638,4.03022683710498,-4.9284190045651,2017-10-11T01:53:55.054,-44.70284,-0.3701884449,0.0930908248,-0.1247100905,0.9158285904
22 50 26.5,-4 26 42.4,1733.7692036044,-3832.63147981071,-5795.91805737592,-4.12315236572322,4.53893545378828,-4.23777522835508,2017-10-11T01:55:50.055,-44.70593,-0.3702372015,0.0928907692,-0.1251572222,0.9157681963
22 50 17.1,-4 24 11.7,1248.16098216643,-3283.93254209589,-6239.78625194888,-4.30925698563687,4.98282014626429,-3.48715572086535,2017-10-11T01:57:45.054,-44.70899,-0.3702858686,0.0926906914,-0.1256043166,0.9157075772
22 48 22.7,-5 37 41.0,-167.79065425413,1971.86990119924,6872.25201037096,4.50658807146181,-5.68287544700013,1.75401232022513,2017-10-11T02:52:00.054,-43.62203,-0.359485656,0.1027709618,-0.1262636036,0.9188393194
22 48 33.2,-5 38 6.3,350.411436088474,1305.44743293918,7023.12975631077,4.4959150701666,-5.88830769524075,0.884430077745114,2017-10-11T02:53:55.055,-43.61793,-0.3594819605,0.1026854143,-0.1258967221,0.9189006699
22 48 43.3,-5 38 31.6,863.587735241435,620.340243258786,7073.16205699101,4.42084406265076,-6.00926251924547,0.00295503698009998,2017-10-11T02:55:50.054,-43.61384,-0.3594782352,0.1025998518,-0.1255298406,0.9189618751
22 48 53.8,-5 38 54.4,1364.40512606755,-73.65340361709,7021.66717047305,4.28219931902157,-6.04391069510947,-0.879637945224997,2017-10-11T02:57:45.054,-43.60974,-0.3594744503,0.1025142819,-0.1251629293,0.91902295
22 50 0.3,-5 24 43.1,4141.14485671604,-4774.02853299281,3368.01405620003,1.32741839265471,-3.44572077778918,-6.48065002182499,2017-10-11T03:13:00.055,-43.65472,-0.3604153097,0.099771142,-0.1237080768,0.9191533254
22 50 3.9,-5 20 40.7,4263.14217678247,-5134.41314114382,2599.87675870353,0.802268933565235,-2.82711727073973,-6.85523971084482,2017-10-11T03:14:55.054,-43.65353,-0.3605090976,0.0991981998,-0.123816438,0.9191639665
22 50 6.6,-5 16 45.1,4324.01949688045,-5421.18804639683,1794.36275199819,0.265501618356505,-2.16796941833605,-7.13142966913001,2017-10-11T03:16:50.054,-43.65235,-0.3606027365,0.0986252204,-0.1239247546,0.9191742966
22 50 9.9,-5 12 43.2,4322.8928935257,-5630.22594967372,963.052111450435,-0.275121083785503,-1.47756526333675,-7.30532778780104,2017-10-11T03:18:45.054,-43.65119,-0.360696286,0.0980522037,-0.1240330264,0.9191842922
